Entry	Entry Name	Gene Names
B7JR69	SSPI_BACC0	sspI BCAH820_4677
B9IUC0	TLP_BACCQ	tlp BCQ_3402
B9J065	SSPI_BACCQ	sspI BCQ_4369
C0H3X8	YGZC_BACSU	ygzC BSU08779
C0H450	S5AEB_BACSU	spoVAEB BSU23402
C1EN48	TLP_BACC3	tlp BCA_3701
C1EU02	SSPI_BACC3	sspI BCA_4669
C3L8U0	SSPI_BACAC	sspI BAMEG_4836
C3L9C5	TLP_BACAC	tlp BAMEG_0965
C3P449	TLP_BACAA	tlp BAA_3697
C3PAF1	SSPI_BACAA	sspI BAA_4816
C5D2I1	TLP_GEOSW	tlp GWCH70_1887
C5D630	SSPI_GEOSW	sspI GWCH70_2652
O06010	YRAD_BACSU	yraD BSU26990
O06723	YISJ_BACSU	yisJ BSU10740
O07919	YRAG_BACSU	yraG BSU26950
O07949	YRAF_BACSU	yraF BSU26960
O31686	YKVU_BACSU	ykvU BSU13830
P06630	EAG_BACSU	eag ykvC BSU13650
P07789	COTB_BACSU	cotB BSU36050
P07790	COTC_BACSU	cotC BSU17700
P07791	COTD_BACSU	cotD BSU22200
P0A3T6	GERPB_BACCR	gerPB BC_1144
P0A3T8	GERPD_BACCR	gerPD BC_1142
P27642	SP51_BACLI	spoVAA
P37874	YGXB_BACSU	ygxB BSU09390
P37968	SP2P_BACSU	spoIIP BSU25530
P39151	SP2R_BACSU	spoIIR BSU36970 ipc-27d
P40867	SP5AB_BACSU	spoVAB BSU23430
P40868	SP5AC_BACSU	spoVAC BSU23420
P40870	S5AEA_BACSU	spoVAEA spoVAE BSU23401 BSU23400
P49780	SP3AC_BACSU	spoIIIAC BSU24410
P49781	SP3AD_BACSU	spoIIIAD BSU24400
P49783	SP3AF_BACSU	spoIIIAF BSU24380
P54379	CSGA_BACSU	csgA BSU02070
P54469	YQFD_BACSU	yqfD BSU25350
P59106	YPEB_OCEIH	OB1805
P94496	CSE60_BACSU	cse60 yteV BSU30080
Q01367	SP3AA_BACSU	spoIIIAA BSU24430
Q01368	SP3AB_BACSU	spoIIIAB BSU24420
Q04811	YMXH_BACSU	ymxH BSU16720
Q08309	COTV_BACSU	cotV BSU11780
Q08310	COTW_BACSU	cotW BSU11770
Q08313	COTX_BACSU	cotX BSU11760
Q5KWD9	SSPI_GEOKA	sspI GK2712
Q5KZP0	TLP_GEOKA	tlp GK1561
Q5WEJ3	SSPI_SHOC1	sspI ABC2682
Q633N2	SSPI_BACCZ	sspI BCE33L4306
Q637L7	TLP_BACCZ	tlp BCE33L3315
Q65GD0	SSPI_BACLD	sspI BLi03018 BL00309
Q65IG4	GERT_BACLD	gerT yozR BLi02270 BL01464
Q6HCW5	SSPI_BACHK	sspI BT9727_4296
Q6HFI9	TLP_BACHK	tlp BT9727_3365
Q72ZH9	SSPI_BACC1	sspI BCE_4689
Q733N0	TLP_BACC1	tlp BCE_3628
Q73AH3	SSPH2_BACC1	sspH2 BCE_1806
Q817I4	SSPI_BACCR	sspI BC_4563
Q81AG2	TLP_BACCR	tlp BC_3608
Q81L28	SSPI_BACAN	sspI BA_4806 GBAA_4806 BAS4458
Q81Y88	TLP_BACAN	tlp BA_3669 GBAA_3669 BAS3403
Q8EPH2	SSPI_OCEIH	sspI OB2133
Q8RB27	SSPI_CALS4	sspI TTE0998
Q9K893	SSPI_HALH5	sspI BH3113
Q9RC82	YPEB_HALH5	BH1632
